Segment,Period,Step,NV,MF,MI,MO1,MO2,MO3,ONRF,OFRF,DEF,UV,SF,KQ
1,1,0,52.9993,240,255,240,3.40E+38,3.40E+38,0,0,0,14.999989,240,298.125
2,1,0,45,240,240,360,3.40E+38,3.40E+38,0,0,0,0,240,108.125
3,1,0,35.217407,240,240,360,3.40E+38,3.40E+38,0,0,0,1.53E-05,240,298.125
4,1,0,37.191223,216.47058,216.47058,360,3.40E+38,3.40E+38,0,23.529411,0,0,240,298.125
5,1,0,30.993286,216.47058,216.47058,3.40E+38,3.40E+38,3.40E+38,0,0,0,0,216.47058,328.3333
0,1,1,37.9993,255,255,360,327.0007,3.40E+38,0,0,0,0,255,261.875
1,1,1,67.9993,240,270,240,3.40E+38,3.40E+38,0,0,0,29.999989,240,280
2,1,1,45,240,240,360,3.40E+38,3.40E+38,0,0,0,0,240,90
3,1,1,35.217392,240.00002,240.00002,360,3.40E+38,3.40E+38,0,0,0,0,240.00002,280
4,1,1,37.191208,216.4706,216.4706,360,3.40E+38,3.40E+38,0,23.529413,0,0,240.00002,280
5,1,1,30.993286,216.4706,216.4706,3.40E+38,3.40E+38,3.40E+38,0,0,0,0,216.4706,308.4314
0,1,2,37.9993,255,255,327.0007,312.0007,3.40E+38,0,0,0,0,255,261.875
1,1,2,82.9993,240,285,240,3.40E+38,3.40E+38,0,0,0,44.99999,240,280
2,1,2,45,240,240,360,3.40E+38,3.40E+38,0,0,0,0,240,90
3,1,2,35.217407,240,240,360,3.40E+38,3.40E+38,0,0,0,1.53E-05,240,279.99997
4,1,2,37.191223,216.47058,216.47058,360,3.40E+38,3.40E+38,0,23.529411,0,0,240,279.99997
5,1,2,30.993286,216.47058,216.47058,3.40E+38,3.40E+38,3.40E+38,0,0,0,0,216.47058,308.43137
0,1,3,37.9993,255,255,312.0007,297.0007,3.40E+38,0,0,0,0,255,261.875
1,1,3,97.9993,240,300,240,3.40E+38,3.40E+38,0,0,0,59.99999,240,280
2,1,3,45,240,240,360,3.40E+38,3.40E+38,0,0,0,0,240,90
3,1,3,35.217392,240.00002,240.00002,360,3.40E+38,3.40E+38,0,0,0,0,240.00002,280
4,1,3,37.191208,216.4706,216.4706,360,3.40E+38,3.40E+38,0,23.529413,0,0,240.00002,280
5,1,3,30.993286,216.4706,216.4706,3.40E+38,3.40E+38,3.40E+38,0,0,0,0,216.4706,308.4314
0,1,4,37.9993,255,255,297.0007,282.0007,3.40E+38,0,0,0,0,255,261.875
1,1,4,112.9993,240,315,240,3.40E+38,3.40E+38,0,0,0,74.999985,240,280
2,1,4,45,240,240,360,3.40E+38,3.40E+38,0,0,0,0,240,90
3,1,4,35.217407,240,240,360,3.40E+38,3.40E+38,0,0,0,1.53E-05,240,279.99997
4,1,4,37.191223,216.47058,216.47058,360,3.40E+38,3.40E+38,0,23.529411,0,0,240,279.99997
5,1,4,30.993286,216.47058,216.47058,3.40E+38,3.40E+38,3.40E+38,0,0,0,0,216.47058,308.43137
0,2,0,32.628387,225,225,282.0007,267.0007,3.40E+38,0,0,0,0,225,261.875
1,2,0,92.62839,240,300,240,3.40E+38,3.40E+38,0,0,0,59.99999,240,280
2,2,0,39.30847,240,240,360,3.40E+38,3.40E+38,0,0,0,7.63E-06,240,90
3,2,0,32.628403,240.00002,240.00002,360,3.40E+38,3.40E+38,0,0,0,3.81E-06,240.00002,280
4,2,0,34.85533,214.31374,214.31374,360,3.40E+38,3.40E+38,0,25.686277,75,1.53E-05,240.00002,280
5,2,0,28.655655,214.31374,214.31374,3.40E+38,3.40E+38,3.40E+38,0,0,0,0,214.31374,308.4314
0,2,1,32.628387,225,225,267.0007,287.3716,3.40E+38,0,0,0,0,225,298.125
1,2,1,77.62839,240,285,240,3.40E+38,3.40E+38,0,0,0,44.99999,240,280
2,2,1,39.30847,240,240,360,3.40E+38,3.40E+38,0,0,0,7.63E-06,240,90
3,2,1,32.628418,240,240,360,3.40E+38,3.40E+38,0,0,0,1.91E-05,240,279.99997
4,2,1,34.85533,213.33334,213.33334,360,3.40E+38,3.40E+38,0,26.666666,0,1.53E-05,240.00002,279.99997
5,2,1,28.655655,213.33334,213.33334,3.40E+38,3.40E+38,3.40E+38,0,0,0,0,213.33334,311.03757
0,2,2,32.628387,225,225,287.3716,302.3716,3.40E+38,0,0,0,0,225,298.125
1,2,2,62.628387,240,270,240,3.40E+38,3.40E+38,0,0,0,29.999989,240,280
2,2,2,39.30847,240,240,360,3.40E+38,3.40E+38,0,0,0,7.63E-06,240,90
3,2,2,32.628403,240.00002,240.00002,360,3.40E+38,3.40E+38,0,0,0,3.81E-06,240.00002,280
4,2,2,34.855316,213.33336,213.33336,360,3.40E+38,3.40E+38,0,26.666668,0,0,240.00003,279.99997
5,2,2,28.655655,213.33336,213.33336,3.40E+38,3.40E+38,3.40E+38,0,0,0,0,213.33336,312.22223
0,2,3,32.628387,225,225,302.3716,317.3716,3.40E+38,0,0,0,0,225,298.125
1,2,3,47.628387,240,254.99998,240,3.40E+38,3.40E+38,0,0,0,14.999989,240,280
2,2,3,39.30847,240,240,360,3.40E+38,3.40E+38,0,0,0,7.63E-06,240,90
3,2,3,32.628418,240,240,360,3.40E+38,3.40E+38,0,0,0,1.91E-05,240,279.99997
4,2,3,34.855316,213.33333,213.33333,360,3.40E+38,3.40E+38,0,26.666666,0,0,240,279.99997
5,2,3,28.655655,213.33333,213.33333,3.40E+38,3.40E+38,3.40E+38,0,0,0,0,213.33333,312.22217
0,2,4,32.628387,225,225,317.3716,332.3716,3.40E+38,0,0,0,0,225,298.125
1,2,4,32.628403,239.99998,239.99998,240,3.40E+38,3.40E+38,0,0,0,3.81E-06,239.99998,280
2,2,4,39.30847,240,240,360,3.40E+38,3.40E+38,0,0,0,7.63E-06,240,90
3,2,4,32.628403,240.00002,240.00002,360,3.40E+38,3.40E+38,0,0,0,3.81E-06,240.00002,280
4,2,4,34.85533,213.33334,213.33334,360,3.40E+38,3.40E+38,0,26.666668,0,1.53E-05,240.00002,280
5,2,4,28.655655,213.33334,213.33334,3.40E+38,3.40E+38,3.40E+38,0,0,0,0,213.33334,312.22223
0,3,0,32.628387,225,225,332.3716,3.40E+38,3.40E+38,0,0,0,0,225,298.125
1,3,0,32.628418,225,225,240,3.40E+38,3.40E+38,0,0,0,1.91E-05,225,280.00003
2,3,0,39.30847,225,225,360,3.40E+38,3.40E+38,0,0,0,7.63E-06,225,90
3,3,0,32.628418,225,225,360,3.40E+38,3.40E+38,0,0,0,1.91E-05,225,279.99997
4,3,0,34.85533,200.00002,200.00002,360,3.40E+38,3.40E+38,0,25,0,1.53E-05,225.00002,279.99997
5,3,0,28.655655,200.00002,200.00002,3.40E+38,3.40E+38,3.40E+38,0,0,0,0,200.00002,312.22223
0,3,1,32.628387,225,225,360,3.40E+38,3.40E+38,0,0,0,0,225,298.125
