Segment,Period,Step,NV,MF,MI,MO1,MO2,MO3,ONRF,OFRF,DEF,UV,SF,KQ,ONRQ
4,0,2,21.284498,22.1875,22.1875,22.566666,3.4028235E38,3.4028235E38,1.8333334,0.0,0.0,1.9073486E-6,22.1875,248.28122,0.16250002
5,0,2,32.727272,29.620834,29.620834,40.0,3.4028235E38,3.4028235E38,7.4333334,0.0,0.0,0.0,29.620834,140.49788,0.0
6,0,2,5.625,29.620834,29.620834,40.0,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,29.620834,330.4979,0.0
7,0,2,25.72699,28.676727,28.676727,40.0,3.4028235E38,3.4028235E38,0.0,0.9441069,0.0,1.9073486E-6,29.620834,330.49786,0.0
8,0,2,8.01207,28.676727,28.676727,46.39794,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,28.676727,344.1874,0.0
9,0,2,100.42688,30.325562,30.325562,40.0,3.4028235E38,3.4028235E38,2.6041667,0.95533204,0.0,7.6293945E-6,31.280893,487.19025,0.13750005
10,0,2,9.081123,30.325562,30.325562,43.85648,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,30.325562,320.2792,0.0
11,0,2,40.36444,32.589962,32.589962,40.0,3.4028235E38,3.4028235E38,3.0125,0.74810183,0.0,0.0,33.338062,434.30496,0.52499986
12,0,2,9.819294,32.589962,32.589962,43.88387,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,32.589962,287.44547,0.0
13,0,2,92.67032,25.660057,25.660057,40.0,3.4028235E38,3.4028235E38,2.8583333,9.7882395,0.0,0.0,35.448296,400.17523,0.14999986
14,0,2,27.46273,25.660057,25.660057,38.283333,3.4028235E38,3.4028235E38,0.0,0.0,0.0,1.9073486E-6,25.660057,387.9291,0.0
15,0,2,20.807951,27.376726,27.376726,48.4625,3.4028235E38,3.4028235E38,1.7166667,0.0,0.0,0.0,27.376726,363.0374,0.27499974
16,0,2,34.76116,28.914227,28.914227,50.0,3.4028235E38,3.4028235E38,1.5375,0.0,0.0,0.0,28.914227,530.74365,0.07499993
17,0,2,13.257835,28.914227,28.914227,50.0,3.4028235E38,3.4028235E38,0.0,0.0,0.0,9.536743E-7,28.914227,530.74365,0.0
18,0,2,28.69661,27.35775,27.35775,40.0,3.4028235E38,3.4028235E38,0.0,1.5564764,0.0,0.0,28.914227,530.74365,0.0
19,0,2,30.98041,26.118336,26.118336,40.0,3.4028235E38,3.4028235E38,0.0,1.2394164,0.0,0.0,27.357752,363.31256,0.0
20,0,2,27.623667,26.118338,26.118338,38.0625,3.4028235E38,3.4028235E38,0.0,0.0,0.0,1.9073486E-6,26.118338,381.28412,0.0
21,0,2,30.884247,28.05584,28.05584,40.0,3.4028235E38,3.4028235E38,1.9375,0.0,0.0,0.0,28.05584,353.19037,0.6624999
22,0,2,11.649345,28.05584,28.05584,40.0,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,28.05584,353.19037,0.0
23,0,2,29.073654,26.722769,26.722769,40.0,3.4028235E38,3.4028235E38,0.0,1.3330716,0.0,0.0,28.05584,353.19037,0.0
24,0,2,23.358665,26.72277,26.72277,37.270832,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,26.72277,372.51987,0.0
25,0,2,28.407528,29.451937,29.451937,38.7375,3.4028235E38,3.4028235E38,2.7291667,0.0,0.0,0.0,29.451937,332.94696,0.5749998
26,0,2,34.48462,30.714437,30.714437,40.0,3.4028235E38,3.4028235E38,1.2625,0.0,0.0,0.0,30.714437,314.64072,0.33749986
27,0,2,148.92897,30.714437,30.714437,40.0,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,30.714437,314.64072,0.0
28,0,2,32.51522,28.063564,28.063564,40.0,3.4028235E38,3.4028235E38,0.0,2.650876,0.0,3.8146973E-6,30.71444,314.64072,0.0
29,0,2,33.727013,28.063564,28.063564,46.323147,454.08502,3.4028235E38,0.0,0.0,0.0,0.0,28.063564,353.0784,0.0
