Segment,Period,Step,NV,MF,MI,MO1,MO2,MO3,ONRF,OFRF,DEF,UV,SF,KQ,ONRQ
15,0,2,20.807953,27.695845,27.695845,48.4375,3.4028235E38,3.4028235E38,1.8083333,0.0,0.0,0.0,27.695845,358.41034,0.0
16,0,2,34.76116,29.258345,29.258345,50.0,3.4028235E38,3.4028235E38,1.5625,0.0,0.0,0.0,29.258345,525.7541,0.0
17,0,2,13.257835,29.258347,29.258347,50.0,3.4028235E38,3.4028235E38,0.0,0.0,0.0,9.536743E-7,29.258347,525.7541,0.0
18,0,2,28.69661,27.683346,27.683346,40.0,3.4028235E38,3.4028235E38,0.0,1.5750008,0.0,0.0,29.258347,525.7541,0.0
19,0,2,30.980412,26.429178,26.429178,40.0,3.4028235E38,3.4028235E38,0.0,1.2541673,0.0,1.9073486E-6,27.683346,358.59158,0.0
20,0,2,27.623663,26.429178,26.429178,37.841667,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,26.429178,376.777,0.0
21,0,2,30.884245,28.587511,28.587511,40.0,3.4028235E38,3.4028235E38,2.1583333,0.0,0.0,0.0,28.587511,345.48114,0.0
22,0,2,11.6493435,28.587511,28.587511,40.0,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,28.587511,345.48114,0.0
23,0,2,29.073656,27.229177,27.229177,40.0,3.4028235E38,3.4028235E38,0.0,1.3583338,0.0,0.0,28.587511,345.48114,0.0
24,0,2,23.358664,27.229177,27.229177,37.079166,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,27.229177,365.17697,0.0
25,0,2,28.407528,30.150013,30.150013,38.625,3.4028235E38,3.4028235E38,2.9208333,0.0,0.0,0.0,30.150013,322.8249,0.0
26,0,2,34.484615,31.525013,31.525013,40.0,3.4028235E38,3.4028235E38,1.375,0.0,0.0,0.0,31.525013,302.8874,0.0
27,0,2,148.92897,31.525013,31.525013,40.0,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,31.525013,302.8874,0.0
28,0,2,32.51521,28.804178,28.804178,40.0,3.4028235E38,3.4028235E38,0.0,2.7208345,0.0,0.0,31.525013,302.8874,0.0
29,0,2,33.727013,28.804178,28.804178,46.048145,446.55768,3.4028235E38,0.0,0.0,0.0,0.0,28.804178,342.3395,0.0
30,0,2,176.56488,20.0,23.462523,20.0,3.4028235E38,3.4028235E38,3.9375,11.587503,0.0,3.4625244,31.587503,491.8497,0.0
31,0,2,69.88636,20.0,20.0,28.595833,211.79865,3.4028235E38,0.0,0.0,0.0,0.0,20.0,90.0,0.0
32,0,2,80.22205,20.0,20.31041,20.0,3.4028235E38,3.4028235E38,1.4041667,1.3006966,0.0,0.31040955,21.300697,261.1399,0.0
33,0,2,9.119318,20.0,20.0,3.4028235E38,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,20.0,90.0,0.0
0,0,3,61.760666,22.4,22.4,30.0,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,22.4,245.19998,0.0
1,0,3,23.402258,22.058332,22.058332,30.0,3.4028235E38,3.4028235E38,0.0,0.34166664,0.0,0.0,22.4,245.19998,0.0
2,0,3,23.27249,20.354166,20.354166,30.0,3.4028235E38,3.4028235E38,0.0,1.7041667,0.0,0.0,22.058332,250.15417,0.0
3,0,3,11.654058,20.354166,20.354166,28.1125,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,20.354166,274.86462,0.0
4,0,3,21.284496,22.241669,22.241669,22.566666,3.4028235E38,3.4028235E38,1.8875,0.0,0.0,0.0,22.241669,247.49583,0.0
