Seg,Period,Step ,NV,MF,MI,MO1,MO2,MO3,ONRF,OFRF,DEF
3,0,23,18.774067,10,10,28.570862,3.40E+38,3.40E+38,1.6666666,0,0
4,0,23,17.142857,10,10,3.40E+38,3.40E+38,3.40E+38,0,0,0
0,0,24,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
1,0,24,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
2,0,24,14.285714,8.333333,8.333333,26.904196,3.40E+38,3.40E+38,0,0,0
3,0,24,18.774067,10,10,28.570862,3.40E+38,3.40E+38,1.6666666,0,0
4,0,24,17.142857,10,10,3.40E+38,3.40E+38,3.40E+38,0,0,0
0,0,25,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
1,0,25,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
2,0,25,14.285714,8.333333,8.333333,26.904196,3.40E+38,3.40E+38,0,0,0
3,0,25,18.774067,10,10,28.570862,3.40E+38,3.40E+38,1.6666666,0,0
4,0,25,17.142857,10,10,3.40E+38,3.40E+38,3.40E+38,0,0,0
0,0,26,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
1,0,26,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
2,0,26,14.285714,8.333333,8.333333,26.904196,3.40E+38,3.40E+38,0,0,0
3,0,26,18.774067,10,10,28.570862,3.40E+38,3.40E+38,1.6666666,0,0
4,0,26,17.142857,10,10,3.40E+38,3.40E+38,3.40E+38,0,0,0
0,0,27,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
1,0,27,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
2,0,27,14.285714,8.333333,8.333333,26.904196,3.40E+38,3.40E+38,0,0,0
3,0,27,18.774067,10,10,28.570862,3.40E+38,3.40E+38,1.6666666,0,0
4,0,27,17.142857,10,10,3.40E+38,3.40E+38,3.40E+38,0,0,0
0,0,28,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
1,0,28,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
2,0,28,14.285714,8.333333,8.333333,26.904196,3.40E+38,3.40E+38,0,0,0
3,0,28,18.774067,10,10,28.570862,3.40E+38,3.40E+38,1.6666666,0,0
4,0,28,17.142857,10,10,3.40E+38,3.40E+38,3.40E+38,0,0,0
0,0,29,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
1,0,29,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
2,0,29,14.285714,8.333333,8.333333,26.904196,3.40E+38,3.40E+38,0,0,0
3,0,29,18.774067,10,10,28.570862,3.40E+38,3.40E+38,1.6666666,0,0
4,0,29,17.142857,10,10,3.40E+38,3.40E+38,3.40E+38,0,0,0
0,0,30,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
1,0,30,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
2,0,30,14.285714,8.333333,8.333333,26.904196,3.40E+38,3.40E+38,0,0,0
3,0,30,18.774067,10,10,28.570862,3.40E+38,3.40E+38,1.6666666,0,0
4,0,30,17.142857,10,10,3.40E+38,3.40E+38,3.40E+38,0,0,0
0,0,31,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
1,0,31,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
2,0,31,14.285714,8.333333,8.333333,26.904196,3.40E+38,3.40E+38,0,0,0
3,0,31,18.774067,10,10,28.570862,3.40E+38,3.40E+38,1.6666666,0,0
4,0,31,17.142857,10,10,3.40E+38,3.40E+38,3.40E+38,0,0,0
0,0,32,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
1,0,32,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
2,0,32,14.285714,8.333333,8.333333,26.904196,3.40E+38,3.40E+38,0,0,0
3,0,32,18.774067,10,10,28.570862,3.40E+38,3.40E+38,1.6666666,0,0
4,0,32,17.142857,10,10,3.40E+38,3.40E+38,3.40E+38,0,0,0
0,0,33,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
1,0,33,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
2,0,33,14.285714,8.333333,8.333333,26.904196,3.40E+38,3.40E+38,0,0,0
3,0,33,18.774067,10,10,28.570862,3.40E+38,3.40E+38,1.6666666,0,0
4,0,33,17.142857,10,10,3.40E+38,3.40E+38,3.40E+38,0,0,0
0,0,34,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
1,0,34,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
2,0,34,14.285714,8.333333,8.333333,26.904196,3.40E+38,3.40E+38,0,0,0
3,0,34,18.774067,10,10,28.570862,3.40E+38,3.40E+38,1.6666666,0,0
4,0,34,17.142857,10,10,3.40E+38,3.40E+38,3.40E+38,0,0,0
0,0,35,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
1,0,35,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
2,0,35,14.285714,8.333333,8.333333,26.904196,3.40E+38,3.40E+38,0,0,0
3,0,35,18.774067,10,10,28.570862,3.40E+38,3.40E+38,1.6666666,0,0
4,0,35,17.142857,10,10,3.40E+38,3.40E+38,3.40E+38,0,0,0
0,0,36,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
1,0,36,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
2,0,36,14.285714,8.333333,8.333333,26.904196,3.40E+38,3.40E+38,0,0,0
3,0,36,18.774067,10,10,28.570862,3.40E+38,3.40E+38,1.6666666,0,0
4,0,36,17.142857,10,10,3.40E+38,3.40E+38,3.40E+38,0,0,0
0,0,37,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
1,0,37,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
2,0,37,14.285714,8.333333,8.333333,26.904196,3.40E+38,3.40E+38,0,0,0
3,0,37,18.774067,10,10,28.570862,3.40E+38,3.40E+38,1.6666666,0,0
4,0,37,17.142857,10,10,3.40E+38,3.40E+38,3.40E+38,0,0,0
0,0,38,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
1,0,38,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
2,0,38,14.285714,8.333333,8.333333,26.904196,3.40E+38,3.40E+38,0,0,0
3,0,38,18.774067,10,10,28.570862,3.40E+38,3.40E+38,1.6666666,0,0
4,0,38,17.142857,10,10,3.40E+38,3.40E+38,3.40E+38,0,0,0
0,0,39,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
1,0,39,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
2,0,39,14.285714,8.333333,8.333333,26.904196,3.40E+38,3.40E+38,0,0,0
3,0,39,18.774067,10,10,28.570862,3.40E+38,3.40E+38,1.6666666,0,0
4,0,39,17.142857,10,10,3.40E+38,3.40E+38,3.40E+38,0,0,0
0,0,40,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
1,0,40,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
2,0,40,14.285714,8.333333,8.333333,26.904196,3.40E+38,3.40E+38,0,0,0
3,0,40,18.774067,10,10,28.570862,3.40E+38,3.40E+38,1.6666666,0,0
4,0,40,17.142857,10,10,3.40E+38,3.40E+38,3.40E+38,0,0,0
0,0,41,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
1,0,41,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
2,0,41,14.285714,8.333333,8.333333,26.904196,3.40E+38,3.40E+38,0,0,0
3,0,41,18.774067,10,10,28.570862,3.40E+38,3.40E+38,1.6666666,0,0
4,0,41,17.142857,10,10,3.40E+38,3.40E+38,3.40E+38,0,0,0
0,0,42,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
1,0,42,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
2,0,42,14.285714,8.333333,8.333333,26.904196,3.40E+38,3.40E+38,0,0,0
3,0,42,18.774067,10,10,28.570862,3.40E+38,3.40E+38,1.6666666,0,0
4,0,42,17.142857,10,10,3.40E+38,3.40E+38,3.40E+38,0,0,0
0,0,43,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
1,0,43,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
2,0,43,14.285714,8.333333,8.333333,26.904196,3.40E+38,3.40E+38,0,0,0
3,0,43,18.774067,10,10,28.570862,3.40E+38,3.40E+38,1.6666666,0,0
4,0,43,17.142857,10,10,3.40E+38,3.40E+38,3.40E+38,0,0,0
0,0,44,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
1,0,44,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
2,0,44,14.285714,8.333333,8.333333,26.904196,3.40E+38,3.40E+38,0,0,0
3,0,44,18.774067,10,10,28.570862,3.40E+38,3.40E+38,1.6666666,0,0
4,0,44,17.142857,10,10,3.40E+38,3.40E+38,3.40E+38,0,0,0
0,0,45,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
1,0,45,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
2,0,45,14.285714,8.333333,8.333333,26.904196,3.40E+38,3.40E+38,0,0,0
3,0,45,18.774067,10,10,28.570862,3.40E+38,3.40E+38,1.6666666,0,0
4,0,45,17.142857,10,10,3.40E+38,3.40E+38,3.40E+38,0,0,0
0,0,46,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
1,0,46,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
2,0,46,14.285714,8.333333,8.333333,26.904196,3.40E+38,3.40E+38,0,0,0
3,0,46,18.774067,10,10,28.570862,3.40E+38,3.40E+38,1.6666666,0,0
4,0,46,17.142857,10,10,3.40E+38,3.40E+38,3.40E+38,0,0,0
0,0,47,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
1,0,47,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
2,0,47,14.285714,8.333333,8.333333,26.904196,3.40E+38,3.40E+38,0,0,0
3,0,47,18.774067,10,10,28.570862,3.40E+38,3.40E+38,1.6666666,0,0
4,0,47,17.142857,10,10,3.40E+38,3.40E+38,3.40E+38,0,0,0
0,0,48,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
1,0,48,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
2,0,48,14.285714,8.333333,8.333333,26.904196,3.40E+38,3.40E+38,0,0,0
3,0,48,18.774067,10,10,28.570862,3.40E+38,3.40E+38,1.6666666,0,0
4,0,48,17.142857,10,10,3.40E+38,3.40E+38,3.40E+38,0,0,0
0,0,49,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
1,0,49,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
2,0,49,14.285714,8.333333,8.333333,26.904196,3.40E+38,3.40E+38,0,0,0
3,0,49,18.774067,10,10,28.570862,3.40E+38,3.40E+38,1.6666666,0,0
4,0,49,17.142857,10,10,3.40E+38,3.40E+38,3.40E+38,0,0,0
0,0,50,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
1,0,50,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
2,0,50,14.285714,8.333333,8.333333,26.904196,3.40E+38,3.40E+38,0,0,0
3,0,50,18.774067,10,10,28.570862,3.40E+38,3.40E+38,1.6666666,0,0
4,0,50,17.142857,10,10,3.40E+38,3.40E+38,3.40E+38,0,0,0
0,0,51,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
1,0,51,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
2,0,51,14.285714,8.333333,8.333333,26.904196,3.40E+38,3.40E+38,0,0,0
3,0,51,18.774067,10,10,28.570862,3.40E+38,3.40E+38,1.6666666,0,0
4,0,51,17.142857,10,10,3.40E+38,3.40E+38,3.40E+38,0,0,0
0,0,52,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
1,0,52,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
2,0,52,14.285714,8.333333,8.333333,26.904196,3.40E+38,3.40E+38,0,0,0
3,0,52,18.774067,10,10,28.570862,3.40E+38,3.40E+38,1.6666666,0,0
4,0,52,17.142857,10,10,3.40E+38,3.40E+38,3.40E+38,0,0,0
0,0,53,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
1,0,53,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
2,0,53,14.285714,8.333333,8.333333,26.904196,3.40E+38,3.40E+38,0,0,0
3,0,53,18.774067,10,10,28.570862,3.40E+38,3.40E+38,1.6666666,0,0
4,0,53,17.142857,10,10,3.40E+38,3.40E+38,3.40E+38,0,0,0
0,0,54,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
1,0,54,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
2,0,54,14.285714,8.333333,8.333333,26.904196,3.40E+38,3.40E+38,0,0,0
3,0,54,18.774067,10,10,28.570862,3.40E+38,3.40E+38,1.6666666,0,0
4,0,54,17.142857,10,10,3.40E+38,3.40E+38,3.40E+38,0,0,0
0,0,55,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
1,0,55,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
2,0,55,14.285714,8.333333,8.333333,26.904196,3.40E+38,3.40E+38,0,0,0
3,0,55,18.774067,10,10,28.570862,3.40E+38,3.40E+38,1.6666666,0,0
4,0,55,17.142857,10,10,3.40E+38,3.40E+38,3.40E+38,0,0,0
0,0,56,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
1,0,56,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
2,0,56,14.285714,8.333333,8.333333,26.904196,3.40E+38,3.40E+38,0,0,0
3,0,56,18.774067,10,10,28.570862,3.40E+38,3.40E+38,1.6666666,0,0
4,0,56,17.142857,10,10,3.40E+38,3.40E+38,3.40E+38,0,0,0
0,0,57,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
1,0,57,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
2,0,57,14.285714,8.333333,8.333333,26.904196,3.40E+38,3.40E+38,0,0,0
3,0,57,18.774067,10,10,28.570862,3.40E+38,3.40E+38,1.6666666,0,0
4,0,57,17.142857,10,10,3.40E+38,3.40E+38,3.40E+38,0,0,0
0,0,58,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
1,0,58,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
2,0,58,14.285714,8.333333,8.333333,26.904196,3.40E+38,3.40E+38,0,0,0
3,0,58,18.774067,10,10,28.570862,3.40E+38,3.40E+38,1.6666666,0,0
4,0,58,17.142857,10,10,3.40E+38,3.40E+38,3.40E+38,0,0,0
0,0,59,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
1,0,59,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
2,0,59,14.285714,8.333333,8.333333,26.904196,3.40E+38,3.40E+38,0,0,0
3,0,59,18.774067,10,10,28.570862,3.40E+38,3.40E+38,1.6666666,0,0
4,0,59,17.142857,10,10,3.40E+38,3.40E+38,3.40E+38,0,0,0
0,1,0,28.761648,16.666666,16.666666,28.57143,3.40E+38,3.40E+38,0,0,0
1,1,0,28.761648,16.666666,16.666666,28.57143,3.40E+38,3.40E+38,0,0,0
2,1,0,28.761648,16.666666,16.666666,25.654472,3.40E+38,3.40E+38,0,0,0
3,1,0,38.196854,19.583332,19.583332,28.571138,3.40E+38,3.40E+38,2.9166667,0,0
4,1,0,34.707928,19.583332,19.583332,3.40E+38,3.40E+38,3.40E+38,0,0,0
0,1,1,28.761648,16.666666,16.666666,28.57143,3.40E+38,3.40E+38,0,0,0
1,1,1,28.761648,16.666666,16.666666,28.57143,3.40E+38,3.40E+38,0,0,0
2,1,1,28.761648,16.666666,16.666666,25.654472,3.40E+38,3.40E+38,0,0,0
3,1,1,38.196846,19.583336,19.583336,28.571138,3.40E+38,3.40E+38,2.9166667,0,0
