Segment, Period, Step, NV, MF, MI, MO1, MO2, MO3, ONRF, OFRF, DEF, UV, SF, KQ, ASF
11, 0, 0, 38.81108522727253, 31.704166663352492, 31.704166663352293, 40.000000000000014, 43.49753605862072, 40.0, 0.0, 0.7541667, 0.0, 0.0, 32.458333363352494, 447.37310645535706, 52.52627972804991
12, 0, 0, 9.302155047348428, 31.70416666335255, 31.704166663352492, 43.643237500000005, 51.82168251455323, 46.55157083333334, 2.908333333333334, 0.0, 0.0, 0.0, 31.70416666335255, 300.2895833333333, 44.251702758620716
13, 0, 0, 89.32663749999958, 24.73749899668631, 24.737498996685883, 40.000000000000014, 36.61032934482762, 40.0, 0.0, 9.875001, 0.0, 0.0, 34.61249999668631, 410.9405858753246, 51.82168251455323
14, 0, 0, 26.049306060605872, 24.737498996686497, 24.73749899668631, 38.19166666666666, 45.52457820689656, 40.0, 1.8083333333333342, 0.0, 0.0, 0.0, 24.737498996686497, 401.30625, 46.48533034482762
15, 0, 0, 19.865207727272733, 26.54583233001983, 26.54583233001983, 50.000000000000234, 58.84638275862071, 50.0, 0.0, 0.0, 0.0, 7.105427357601002e-15, 26.54583233001983, 375.0854166666667, 45.52457820689656
16, 0, 0, 33.28670012310583, 26.545832330019824, 26.545832330019596, 50.00000000000003, 58.84638275862072, 50.0, 0.0, 0.0, 0.0, 0.0, 26.545832330019824, 542.4291666666666, 58.84638275862071
17, 0, 0, 12.695477812499902, 26.545832330019923, 26.545832330019824, 50.00000000000003, 58.84638275862072, 50.0, 0.0, 0.0, 0.0, 0.0, 26.545832330019923, 542.4291666666666, 58.84638275862072
18, 0, 0, 27.479389204545257, 24.970832130020128, 24.97083213001992, 40.000000000000014, 44.29786531724141, 40.0, 0.0, 1.5750002, 0.0, 0.0, 26.54583233002013, 542.4291666666666, 58.84638275862072
19, 0, 0, 29.638578124999796, 23.716665430020242, 23.71666543002013, 40.000000000000014, 45.081455368965536, 40.0, 0.0, 1.2541667, 0.0, 0.0, 24.97083213002024, 375.2666666666667, 45.87286551724141
20, 0, 0, 26.206356742424063, 23.716665430020424, 23.716665430020242, 39.63749883002167, 45.24795448275863, 40.0, 0.3625011699783265, 0.0, 0.0, 0.0, 23.716665430020424, 393.45208333333335, 46.335622068965534
21, 0, 0, 29.51836931818174, 24.079166599998835, 24.07916659999875, 40.000000000000014, 45.705219310344845, 40.0, 0.0, 0.0, 0.0, 0.0, 24.079166599998835, 362.15625, 45.24795448275863
22, 0, 0, 11.053899999999949, 24.079166599998885, 24.079166599998835, 40.000000000000014, 45.65200855172416, 40.0, 0.0, 0.0, 0.0, 0.0, 24.079166599998885, 362.15625, 45.705219310344845
23, 0, 0, 27.853942045454417, 22.720833299999015, 22.720833299998887, 40.000000000000014, 44.750257044827585, 40.0, 0.0, 1.3583333, 0.0, 0.0, 24.079166599999013, 362.15625, 45.65200855172416
24, 0, 0, 22.16374303030303, 22.720833299999015, 22.720833299999015, 40.0, 44.79618965517242, 40.0, 0.0, 0.0, 0.0, 0.0, 22.720833299999015, 381.8520833333333, 46.10859034482758
25, 0, 0, 27.195421401515155, 22.720833299999015, 22.720833299999015, 40.0, 44.38502689655174, 40.0, 0.0, 0.0, 0.0, 0.0, 22.720833299999015, 339.5, 44.79618965517242
26, 0, 0, 33.07304261363625, 22.720833299999157, 22.720833299999015, 40.000000000000014, 44.73984344827589, 40.0, 0.0, 0.0, 0.0, 0.0, 22.720833299999157, 319.5625, 44.38502689655174
27, 0, 0, 141.19776685605981, 22.720833299999953, 22.720833299999157, 40.000000000000014, 44.82023241379312, 40.0, 0.0, 0.0, 0.0, 0.0, 22.720833299999953, 319.5625, 44.73984344827589
28, 0, 0, 31.280292613636234, 20.000000000000085, 19.999999999999954, 40.000000000000014, 42.917773596551726, 40.0, 0.0, 2.7208333, 0.0, 0.0, 22.720833300000084, 319.5625, 44.82023241379312
