Seg,Period,Step,NV,MI,MF,MO1,MO2,MO3,ONRF,OFRF,DEF,UV,SF,KQ
23,0,2,20.999,19.788546,19.788546,40,3.40E+38,3.40E+38,0,1.1333334,0,0,20.921879,456.6327
24,0,2,16.447618,19.788546,19.788546,37.18729,3.40E+38,3.40E+38,0,0,0,0,19.788546,473.06604
25,0,2,20.740091,22.601254,22.601254,38.768543,3.40E+38,3.40E+38,2.8127084,0,0,0,22.601254,432.28177
26,0,2,25.373825,23.832712,23.832712,40,3.40E+38,3.40E+38,1.2314583,0,0,0,23.832712,414.4256
27,0,2,104.60238,23.832712,23.832712,40,3.40E+38,3.40E+38,0,0,0,0,23.832712,414.4256
28,0,2,24.257708,21.557713,21.557713,40,3.40E+38,3.40E+38,0,2.2750003,0,0,23.832712,414.4256
29,0,2,24.112268,21.557714,21.557714,46.214584,3.40E+38,3.40E+38,0,0,0,1.91E-06,21.557714,447.41315
30,0,2,104.99766,15.643129,15.643129,20,3.40E+38,3.40E+38,3.7854166,9.700003,0,0,25.343132,582.52454
31,0,2,45.064095,15.643129,15.643129,28.64875,3.40E+38,3.40E+38,0,0,0,0,15.643129,153.17464
32,0,2,60.950737,15.852713,15.852713,20,3.40E+38,3.40E+38,1.3512499,1.1416669,0,0,16.994379,323.58148
33,0,2,5.996317,15.852713,15.852713,3.40E+38,3.40E+38,3.40E+38,0,0,0,0,15.852713,150.13567
0,0,3,37.08874,14.279166,14.279166,30,3.40E+38,3.40E+38,0,0,0,0,14.279166,362.9521
1,0,3,14.839179,13.995832,13.995832,30,3.40E+38,3.40E+38,0,0.28333333,0,0,14.279166,362.9521
2,0,3,14.702054,12.570833,12.570833,30,3.40E+38,3.40E+38,0,1.425,0,0,13.995833,367.06042
3,0,3,6.9792614,12.570833,12.570833,28.420834,3.40E+38,3.40E+38,0,0,0,0,12.570833,387.72296
4,0,3,13.083909,14.150001,14.150001,23.779167,3.40E+38,3.40E+38,1.5791667,0,0,0,14.150001,364.82504
5,0,3,19.263828,20.370834,20.370834,40,3.40E+38,3.40E+38,6.2208333,0,0,0,20.370834,274.62292
6,0,3,3.3109703,20.370834,20.370834,40,3.40E+38,3.40E+38,0,0,0,0,20.370834,464.6229
7,0,3,17.378654,19.579168,19.579168,40,3.40E+38,3.40E+38,0,0.7916667,0,0,20.370834,464.6229
8,0,3,5.212635,19.579168,19.579168,46.4269,3.40E+38,3.40E+38,0,0,0,0,19.579168,476.10205
9,0,3,66.11821,21.000002,21.000002,40,3.40E+38,3.40E+38,2.225,0.80416673,0,0,21.804169,625.079
10,0,3,5.8671284,21.000002,21.000002,42.940304,3.40E+38,3.40E+38,0,0,0,0,21.000002,455.49997
11,0,3,28.244543,23.428543,23.428543,40,3.40E+38,3.40E+38,3.0618749,0.6333334,0,0,24.061876,570.78186
12,0,3,6.358021,23.428543,23.428543,43.392796,3.40E+38,3.40E+38,0,0,0,0,23.428543,420.28613
13,0,3,65.34808,17.969168,17.969168,40,3.40E+38,3.40E+38,2.803125,8.262501,0,0,26.231668,538.31946
14,0,3,18.669266,17.96917,17.96917,38.260624,3.40E+38,3.40E+38,0,0,0,0,17.96917,499.44708
15,0,3,14.456167,19.708546,19.708546,48.495415,3.40E+38,3.40E+38,1.7393749,0,0,0,19.708546,474.22614
16,0,3,25.028732,21.213129,21.213129,50,3.40E+38,3.40E+38,1.5045834,0,0,0,21.213129,642.40967
17,0,3,9.545906,21.213129,21.213129,50,3.40E+38,3.40E+38,0,0,0,0,21.213129,642.40967
18,0,3,20.662134,19.892296,19.892296,40,3.40E+38,3.40E+38,0,1.3208336,0,0,21.213129,642.40967
19,0,3,21.954327,18.842297,18.842297,40,3.40E+38,3.40E+38,0,1.0500001,0,0,19.892296,471.56177
20,0,3,19.209347,18.842297,18.842297,37.920418,3.40E+38,3.40E+38,0,0,0,0,18.842297,486.7867
